version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
repack_mma,"lane-native MMA fragments + tile-contiguous scales",4096,4096,4096,128,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.039648,0.039537724,0.038015999,0.039808001,0,0,0,0,0,"weights and scales; no allocation in timed region"
repack_mma_pair,"two k16 fragments per uint32 + tile-contiguous scales",4096,4096,4096,128,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.031552002,0.031895034,0.030304,0.033119999,0,0,0,0,0,"weights and scales; no allocation in timed region"
end_to_end,"quantize + final-layout repack + fused final GEMM",4096,4096,4096,128,64,128,32,32,64,2,128,-1,0,-1,one-shot,2.995744,3.0753055,2.7268801,3.801312,45.87807,0,0,0,0,"preprocessing is normally amortized for inference weights"
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,128,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.13334399,0.13633358,0.13177601,0.16841599,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,128,0,0,0,0,0,0,0,-1,0,-1,steady,2.066016,2.065383,2.0349121,2.0834241,66.523665,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,128,0,0,0,0,0,0,0,-1,0,-1,steady,2.501792,2.5723364,2.2143681,3.3348479,54.936204,0,0,0,0,"includes dequant and GEMM"
v17a,"TMA baseline with 64x32 warp tile",4096,4096,4096,128,64,128,32,64,32,2,128,98,12816,0.33333334,steady,2.4514239,2.4795887,2.199136,3.029568,56.064948,1,1,0,0,""
v17b,"64x32 TMA + ldmatrix.x4 A fragments",4096,4096,4096,128,64,128,32,64,32,2,128,98,12816,0.33333334,steady,2.4764481,2.4977088,2.19296,3.0992,55.49842,0.98989513,0.98989513,0,0,""
v17c,"ldmatrix + group32 k16 fragment-pair repack",4096,4096,4096,128,64,128,32,64,32,2,128,100,12816,0.33333334,steady,2.444416,2.4844227,2.205056,2.8034561,56.22568,1.0131042,1.0028669,0,0,""
v17d,"fragment-pair TMA + full/empty mbarrier handoff",4096,4096,4096,128,64,128,32,64,32,2,128,118,12832,0.33333334,steady,2.453984,2.4736636,2.1740799,3.0471039,56.006458,0.99610104,0.99895674,0,0,""
v17e,"full/empty TMA + BFE/PRMT INT4 decode",4096,4096,4096,128,64,128,32,64,32,2,128,119,12832,0.33333334,steady,2.4856639,2.5326836,2.1762879,3.226464,55.292654,0.98725497,0.98622501,0,0,""
final,"group-aware register MMA: TMA g32/g64, cp.async g128",4096,4096,4096,128,64,128,32,32,64,2,128,94,14848,0.41666666,steady,2.5391679,2.6137056,2.264416,3.3457921,54.127557,0.97892853,0.9654438,0,0,""
final_cold,"group-aware register MMA: TMA g32/g64, cp.async g128",4096,4096,4096,128,64,128,32,32,64,2,128,94,14848,0.41666666,cold-ish,2.540544,2.5922015,2.2650881,3.219456,54.098237,0.99945831,0.96492084,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
